Name ({0, 6}) = "import"
Operator ({857, 1}) = "="
String ({859, 11}) = "R"a string""
Name ({872, 9}) = "stringVar"
Operator ({882, 1}) = "="
String ({884, 11}) = "B"a string""
Name ({897, 9}) = "stringVar"
Operator ({907, 1}) = "="
String ({909, 12}) = "ur"a string""
Name ({923, 9}) = "stringVar"
Operator ({933, 1}) = "="
String ({935, 12}) = "br"a string""
Name ({949, 9}) = "stringVar"
Operator ({959, 1}) = "="
String ({961, 12}) = "Ur"a string""
Name ({975, 9}) = "stringVar"
Operator ({985, 1}) = "="
String ({987, 12}) = "Br"a string""
Name ({1001, 9}) = "stringVar"
Operator ({1011, 1}) = "="
String ({1013, 12}) = "uR"a string""
Name ({1027, 9}) = "stringVar"
Operator ({1037, 1}) = "="
String ({1039, 12}) = "bR"a string""
Name ({1053, 9}) = "stringVar"
Operator ({1063, 1}) = "="
String ({1065, 12}) = "UR"a string""
Name ({1079, 9}) = "stringVar"
Operator ({1089, 1}) = "="
String ({1091, 12}) = "BR"a string""
Comment ({1109, 23}) = "# ----- integers ----- "
Name ({1134, 9}) = "numberVar"
Operator ({1144, 1}) = "="
Number ({1146, 1}) = "0"
Name ({1149, 9}) = "numberVar"
Operator ({1159, 1}) = "="
Number ({1161, 3}) = "45l"
Name ({1166, 9}) = "numberVar"
Operator ({1176, 1}) = "="
Number ({1178, 4}) = "231L"
Comment ({1185, 29}) = "# ----- integers octal ----- "
Name ({1216, 9}) = "numberVar"
Operator ({1226, 1}) = "="
Number ({1228, 3}) = "023"
Name ({1233, 9}) = "numberVar"
Operator ({1243, 1}) = "="
Number ({1245, 4}) = "0o73"
Name ({1251, 9}) = "numberVar"
Operator ({1261, 1}) = "="
Number ({1263, 5}) = "0O123"
Comment ({1272, 27}) = "# ----- integers hex ----- "
Name ({1301, 9}) = "numberVar"
Operator ({1311, 1}) = "="
Number ({1313, 6}) = "0x32Ab"
Name ({1321, 9}) = "numberVar"
Operator ({1331, 1}) = "="
Number ({1333, 12}) = "0X12DEADBEEf"
Comment ({1349, 30}) = "# ----- integers binary ----- "
Name ({1381, 9}) = "numberVar"
Operator ({1391, 1}) = "="
Number ({1393, 8}) = "0b011110"
Name ({1403, 9}) = "numberVar"
Operator ({1413, 1}) = "="
Number ({1415, 10}) = "0B11100101"
Comment ({1429, 21}) = "# ----- floats ----- "
Name ({1452, 9}) = "numberVar"
Operator ({1462, 1}) = "="
Number ({1464, 3}) = "10."
Name ({1469, 9}) = "numberVar"
Operator ({1479, 1}) = "="
Number ({1481, 4}) = ".023"
Name ({1487, 9}) = "numberVar"
Operator ({1497, 1}) = "="
Number ({1499, 7}) = "199.743"
Name ({1508, 9}) = "numberVar"
Operator ({1518, 1}) = "="
Number ({1520, 5}) = "1e+24"
Name ({1527, 9}) = "numberVar"
Operator ({1537, 1}) = "="
Number ({1539, 5}) = "0e-64"
Name ({1546, 9}) = "numberVar"
Operator ({1556, 1}) = "="
Number ({1558, 6}) = "42e024"
Name ({1566, 9}) = "numberVar"
Operator ({1576, 1}) = "="
Number ({1578, 7}) = "0.2e-24"
Name ({1587, 9}) = "numberVar"
Operator ({1597, 1}) = "="
Number ({1599, 8}) = ".023e+12"
Comment ({1611, 19}) = "# ----- reals -----"
Name ({1632, 9}) = "numberVar"
Operator ({1642, 1}) = "="
Number ({1644, 3}) = "24J"
Name ({1649, 9}) = "numberVar"
Operator ({1659, 1}) = "="
Number ({1661, 4}) = "10.J"
Name ({1667, 9}) = "numberVar"
Operator ({1677, 1}) = "="
Number ({1679, 5}) = ".023J"
Name ({1686, 9}) = "numberVar"
Operator ({1696, 1}) = "="
Number ({1698, 8}) = "199.743J"
Name ({1708, 9}) = "numberVar"
Operator ({1718, 1}) = "="
Number ({1720, 6}) = "1e+24j"
Name ({1728, 9}) = "numberVar"
Operator ({1738, 1}) = "="
Number ({1740, 6}) = "0e-64j"
Name ({1748, 9}) = "numberVar"
Operator ({1758, 1}) = "="
Number ({1760, 7}) = "42e024J"
Name ({1769, 9}) = "numberVar"
Operator ({1779, 1}) = "="
Number ({1781, 8}) = "0.2e-24j"
Name ({1791, 9}) = "numberVar"
Operator ({1801, 1}) = "="
Number ({1803, 9}) = ".023e+12J"
Name ({1816, 9}) = "crazyTest"
Operator ({1826, 1}) = "="
Bracket ({1828, 1}) = "("
Number ({1829, 7}) = "199.743"
Operator ({1836, 1}) = "+"
Number ({1837, 9}) = ".023e+12J"
Operator ({1846, 1}) = "-"
Number ({1847, 6}) = "0x32Ab"
Operator ({1853, 1}) = "/"
Number ({1854, 4}) = "321."
Bracket ({1858, 1}) = ")"
Operator ({1859, 1}) = "+"
Bracket ({1860, 1}) = "("
Number ({1861, 3}) = ".23"
Operator ({1864, 1}) = "-"
Number ({1865, 4}) = "0.32"
Operator ({1869, 1}) = "+"
Number ({1870, 6}) = "42e-23"
Bracket ({1876, 1}) = ")"
Name ({1883, 4}) = "py80"
Special ({1887, 1}) = "."
Name ({1888, 8}) = "clearLog"
Bracket ({1896, 1}) = "("
Bracket ({1897, 1}) = ")"
Name ({1900, 4}) = "py80"
Special ({1904, 1}) = "."
Name ({1905, 3}) = "log"
Bracket ({1908, 1}) = "("
String ({1910, 28}) = ""Test log from py80 context""
Bracket ({1938, 1}) = ")"
Name ({1941, 2}) = "if"
Number ({1944, 2}) = "23"
Operator ({1947, 2}) = "<>"
Number ({1950, 2}) = "45"
Name ({1953, 3}) = "and"
Number ({1957, 2}) = "23"
Operator ({1960, 2}) = "!="
Number ({1963, 2}) = "45"
Special ({1965, 1}) = ":"
Name ({1969, 4}) = "pass"
Name ({1975, 1}) = "l"
Operator ({1977, 1}) = "="
Bracket ({1979, 1}) = "["
Number ({1981, 1}) = "0"
Bracket ({1982, 1}) = "]"
Name ({1986, 3}) = "def"
Name ({1990, 15}) = "anotherFunction"
Bracket ({2005, 1}) = "("
Bracket ({2006, 1}) = ")"
Special ({2007, 1}) = ":"
DocString ({2010, 117}) = "ur'''
	This is a single quote multiline docstring
	so that's that... 'some mid quote'
	another quote "blah blah"
	'''"
Name ({2129, 5}) = "myVar"
Operator ({2135, 1}) = "="
String ({2137, 10}) = ""a string""
Name ({2149, 4}) = "py80"
Special ({2153, 1}) = "."
Name ({2154, 3}) = "log"
Bracket ({2157, 1}) = "("
Name ({2159, 5}) = "myVar"
Bracket ({2164, 1}) = ")"
Name ({2170, 3}) = "def"
Name ({2174, 14}) = "stringFunction"
Bracket ({2188, 1}) = "("
Bracket ({2189, 1}) = ")"
Name ({2192, 2}) = "s1"
Operator ({2195, 1}) = "="
String ({2197, 29}) = ""a string with double quotes""
Name ({2228, 2}) = "s2"
Operator ({2231, 1}) = "="
String ({2233, 29}) = "'a string with single quotes'"
Name ({2264, 2}) = "s3"
Operator ({2267, 1}) = "="
String ({2269, 57}) = ""a double quote string with 'single quote' string inside""
Name ({2328, 2}) = "s4"
Operator ({2331, 1}) = "="
String ({2333, 57}) = "'a single quote string with "double quote" string inside'"
